#X	Y	T = 0	T = 0.025	T = 0.05	T = 0.075	T = 0.1	T = 0.125	T = 0.15	T = 0.175	T = 0.2	T = 0.225	T = 0.25	T = 0.275	T = 0.3	T = 0.325	T = 0.35	T = 0.375	T = 0.4	T = 0.425	T = 0.45	T = 0.475	T = 0.5	T = 0.525	T = 0.55	T = 0.575	T = 0.6	T = 0.625	T = 0.65	T = 0.675	T = 0.7	T = 0.725	T = 0.75	T = 0.775	T = 0.8	T = 0.825	T = 0.85	T = 0.875	T = 0.9	T = 0.925	T = 0.95	T = 0.975	T = 1
0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4	0.1	0	0.0155082	0.0244398	0.0296333	0.0326022	0.0341857	0.03487	0.0349504	0.0346146	0.0339875	0.0331554	0.0321799	0.0311062	0.0299683	0.0287917	0.0275963	0.0263971	0.0252059	0.0240317	0.0228813	0.0217599	0.0206714	0.0196186	0.0186032	0.0176266	0.0166893	0.0157915	0.014933	0.0141134	0.013332	0.0125879	0.0118801	0.0112074	0.0105688	0.00996298	0.00938869	0.00884469	0.00832968	0.00784243	0.00738167	0.0069462
0.4	0.2	0	0.00468974	0.0099166	0.0146599	0.0186243	0.0217889	0.0242277	0.0260399	0.0273237	0.0281672	0.0286467	0.028827	0.028763	0.0285007	0.0280786	0.0275292	0.0268796	0.0261528	0.0253677	0.0245403	0.0236839	0.0228097	0.0219268	0.0210428	0.0201641	0.0192958	0.0184419	0.0176059	0.0167904	0.0159974	0.0152284	0.0144845	0.0137666	0.013075	0.01241	0.0117715	0.0111595	0.0105735	0.0100131	0.00947789	0.00896715
0.4	0.3	0	0.00248456	0.00557414	0.00892367	0.012232	0.0152981	0.0180104	0.0203213	0.0222243	0.0237374	0.0248917	0.0257238	0.0262722	0.0265741	0.0266643	0.0265746	0.0263335	0.0259664	0.0254956	0.0249406	0.0243181	0.0236431	0.0229279	0.0221836	0.0214193	0.020643	0.0198614	0.0190801	0.0183039	0.0175367	0.0167819	0.016042	0.0153192	0.0146153	0.0139315	0.0132689	0.0126281	0.0120097	0.0114139	0.0108407	0.0102901
0.4	0.4	0	0.00215607	0.00456	0.00717002	0.00985754	0.0124862	0.0149468	0.017166	0.0191027	0.0207413	0.0220838	0.023144	0.0239423	0.0245027	0.0248508	0.0250115	0.0250091	0.0248661	0.0246031	0.0242388	0.0237901	0.0232719	0.0226974	0.0220782	0.0214247	0.0207456	0.0200486	0.0193405	0.018627	0.017913	0.0172026	0.0164993	0.0158061	0.0151255	0.0144594	0.0138096	0.0131771	0.0125632	0.0119685	0.0113935	0.0108386
0.4	0.5	0	0.00211189	0.00430106	0.00657858	0.00888457	0.0111389	0.0132684	0.0152183	0.0169531	0.0184546	0.0197183	0.0207492	0.0215588	0.0221629	0.0225793	0.0228267	0.0229238	0.0228888	0.0227386	0.0224893	0.0221554	0.0217502	0.0212856	0.0207724	0.0202202	0.0196373	0.0190314	0.0184088	0.0177754	0.017136	0.0164951	0.0158564	0.0152228	0.0145973	0.0139819	0.0133786	0.0127889	0.0122142	0.0116552	0.0111129	0.0105878
0.4	0.6	0	0.00197672	0.00397111	0.00599063	0.00799131	0.00991687	0.0117178	0.0133581	0.0148155	0.0160795	0.0171486	0.0180279	0.0187269	0.0192577	0.019634	0.0198703	0.0199809	0.0199799	0.0198808	0.019696	0.0194374	0.0191157	0.0187407	0.0183212	0.0178654	0.0173803	0.0168724	0.0163474	0.0158102	0.0152654	0.0147167	0.0141675	0.0136207	0.0130789	0.0125441	0.0120182	0.0115026	0.0109987	0.0105074	0.0100295	0.00956573
0.4	0.7	0	0.00167511	0.0033504	0.00502673	0.00666604	0.0082239	0.0096641	0.0109625	0.0121064	0.0130917	0.0139208	0.0146002	0.0151389	0.0155475	0.0158373	0.0160194	0.0161051	0.0161049	0.016029	0.0158868	0.015687	0.0154376	0.0151462	0.0148193	0.0144632	0.0140831	0.0136842	0.0132707	0.0128467	0.0124155	0.0119804	0.0115438	0.0111083	0.0106758	0.0102481	0.00982664	0.00941278	0.00900755	0.00861183	0.00822633	0.00785161
0.4	0.8	0	0.00121585	0.00242839	0.00363603	0.00480971	0.00591704	0.0069327	0.00784095	0.00863459	0.00931281	0.00987913	0.0103397	0.0107022	0.0109748	0.0111659	0.0112838	0.0113363	0.0113306	0.0112739	0.0111723	0.0110318	0.0108578	0.010655	0.0104282	0.0101812	0.0099177	0.00964108	0.00935426	0.00905991	0.00876038	0.00845777	0.00815392	0.00785046	0.00754881	0.00725019	0.00695566	0.00666612	0.00638233	0.00610493	0.00583444	0.00557128
0.4	0.9	0	0.000639036	0.00127576	0.00190882	0.00252249	0.0030995	0.00362658	0.00409572	0.00450357	0.0048502	0.00513798	0.0053706	0.00555242	0.00568804	0.00578205	0.00583882	0.00586248	0.00585687	0.00582551	0.00577164	0.00569822	0.00560794	0.00550327	0.00538642	0.00525942	0.0051241	0.00498211	0.00483493	0.00468389	0.00453017	0.00437483	0.00421881	0.00406292	0.0039079	0.00375436	0.00360285	0.00345384	0.00330771	0.0031648	0.00302538	0.00288967
0.4	1	0	1.0767e-16	9.95369e-17	9.20184e-17	8.50678e-17	7.86422e-17	7.2702e-17	6.72105e-17	6.21337e-17	5.74405e-17	5.31017e-17	4.90907e-17	4.53827e-17	4.19547e-17	3.87857e-17	3.5856e-17	3.31476e-17	3.06438e-17	2.83291e-17	2.61893e-17	2.42111e-17	2.23823e-17	2.06917e-17	1.91287e-17	1.76839e-17	1.63481e-17	1.51133e-17	1.39717e-17	1.29163e-17	1.19407e-17	1.10388e-17	1.0205e-17	9.43413e-18	8.72152e-18	8.06275e-18	7.45373e-18	6.89071e-18	6.37022e-18	5.88905e-18	5.44422e-18	5.03299e-18

0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.1	0	0.0162532	0.0255226	0.0308099	0.0337341	0.0352022	0.0357425	0.0356749	0.0352007	0.034451	0.0335144	0.0324521	0.0313082	0.0301144	0.0288943	0.0276656	0.0264417	0.0252326	0.0240459	0.0228875	0.0217614	0.0206708	0.0196177	0.0186036	0.0176291	0.0166946	0.0158001	0.014945	0.0141289	0.0133508	0.0126099	0.0119051	0.0112352	0.010599	0.00999531	0.00942288	0.00888042	0.0083667	0.00788044	0.00742044	0.00698548
0.5	0.2	0	0.00483458	0.0101174	0.0148072	0.0186403	0.0216354	0.0238985	0.0255493	0.0266968	0.0274335	0.0278356	0.0279656	0.0278745	0.0276047	0.0271908	0.026662	0.0260423	0.0253521	0.0246083	0.0238251	0.0230146	0.0221866	0.0213496	0.0205106	0.0196754	0.0188487	0.0180344	0.0172358	0.0164553	0.0156951	0.0149566	0.014241	0.0135491	0.0128815	0.0122385	0.0116202	0.0110265	0.0104572	0.00991204	0.0093905	0.00889214
0.5	0.3	0	0.00248033	0.00544003	0.00856216	0.0115938	0.0143777	0.0168328	0.0189287	0.0206659	0.0220621	0.0231444	0.0239438	0.024492	0.0248197	0.0249562	0.0249281	0.0247596	0.0244725	0.0240862	0.0236178	0.0230825	0.0224935	0.0218624	0.0211992	0.0205127	0.0198103	0.0190986	0.0183831	0.0176685	0.0169589	0.0162574	0.0155671	0.0148901	0.0142284	0.0135834	0.0129564	0.0123483	0.0117596	0.011191	0.0106426	0.0101145
