X	Y	T = 0	T = 0.025	T = 0.05	T = 0.075	T = 0.1	T = 0.125	T = 0.15	T = 0.175	T = 0.2	T = 0.225	T = 0.25	T = 0.275	T = 0.3	T = 0.325	T = 0.35	T = 0.375	T = 0.4	T = 0.425	T = 0.45	T = 0.475	T = 0.5	T = 0.525	T = 0.55	T = 0.575	T = 0.6	T = 0.625	T = 0.65	T = 0.675	T = 0.7	T = 0.725	T = 0.75	T = 0.775	T = 0.8	T = 0.825	T = 0.85	T = 0.875	T = 0.9	T = 0.925	T = 0.95	T = 0.975	T = 1
0.3	0.5	0.809017	0.764922	0.723924	0.685552	0.649437	0.615316	0.582999	0.552348	0.523256	0.495632	0.469402	0.444496	0.420852	0.39841	0.377115	0.356914	0.337755	0.319589	0.302369	0.28605	0.270587	0.25594	0.242066	0.228929	0.216491	0.204717	0.193572	0.183024	0.173044	0.1636	0.154666	0.146214	0.13822	0.130658	0.123507	0.116744	0.110349	0.104302	0.0985839	0.0931777	0.0880665
0.3	0.6	0.769421	0.726799	0.687151	0.650023	0.615068	0.582052	0.550812	0.521224	0.49319	0.466626	0.441455	0.417606	0.395014	0.373615	0.353349	0.334161	0.315995	0.298799	0.282523	0.267122	0.252548	0.23876	0.225715	0.213376	0.201705	0.190667	0.180228	0.170356	0.161021	0.152195	0.143849	0.135959	0.128499	0.121447	0.11478	0.108478	0.102521	0.0968899	0.0915672	0.0865361	0.0817807
0.3	0.7	0.654508	0.617554	0.583193	0.551027	0.520783	0.492269	0.465344	0.439899	0.415839	0.393086	0.371567	0.351214	0.331967	0.313765	0.296553	0.280279	0.264892	0.250345	0.236594	0.223594	0.211307	0.199692	0.188714	0.178338	0.168532	0.159263	0.150504	0.142225	0.134402	0.127008	0.120021	0.113418	0.107177	0.10128	0.0957073	0.0904409	0.0854641	0.0807611	0.0763168	0.072117	0.0681483
0.3	0.8	0.475528	0.447864	0.422168	0.398253	0.3759	0.354927	0.335199	0.31661	0.299075	0.282524	0.266897	0.252137	0.238197	0.225029	0.21259	0.20084	0.189741	0.179257	0.169354	0.159999	0.151163	0.142816	0.134931	0.127483	0.120447	0.1138	0.107522	0.10159	0.095987	0.0906934	0.0856925	0.080968	0.0765044	0.0722874	0.0683032	0.064539	0.0609826	0.0576225	0.0544477	0.0514481	0.0486139
0.3	0.9	0.25	0.234335	0.22031	0.207498	0.195644	0.184586	0.174223	0.164482	0.155309	0.146661	0.138505	0.130807	0.123542	0.116684	0.110209	0.104095	0.0983233	0.0928734	0.0877275	0.0828684	0.0782801	0.0739474	0.0698559	0.065992	0.062343	0.0588968	0.0556421	0.052568	0.0496646	0.0469222	0.0443318	0.0418849	0.0395736	0.0373902	0.0353277	0.0333792	0.0315385	0.0297996	0.0281567	0.0266046	0.0251383
0.3	1	9.90727e-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4	0.1	0.293893	0.293874	0.288017	0.279293	0.269155	0.258361	0.24733	0.236306	0.225437	0.214814	0.204495	0.194517	0.184899	0.175654	0.166787	0.158296	0.150178	0.142425	0.13503	0.127982	0.121271	0.114885	0.108811	0.10304	0.0975566	0.0923507	0.0874097	0.082722	0.0782761	0.0740609	0.0700654	0.0662793	0.0626924	0.0592948	0.0560774	0.053031	0.050147	0.0474172	0.0448336	0.0423889	0.0400756
0.4	0.2	0.559017	0.532822	0.508676	0.485586	0.463252	0.441604	0.420644	0.400391	0.380863	0.362073	0.344027	0.326722	0.310152	0.294307	0.279172	0.264729	0.250959	0.237842	0.225355	0.213476	0.202183	0.19145	0.181257	0.17158	0.162396	0.153684	0.145421	0.137588	0.130164	0.123129	0.116464	0.110151	0.104173	0.0985131	0.093155	0.0880834	0.0832837	0.0787418	0.0744444	0.0703788	0.0665328
0.4	0.3	0.769421	0.728263	0.690111	0.654478	0.620963	0.589279	0.559222	0.530649	0.503453	0.477553	0.452885	0.429392	0.407024	0.385735	0.365482	0.346222	0.327916	0.310522	0.294002	0.278319	0.263435	0.249314	0.235922	0.223224	0.211188	0.199782	0.188975	0.178739	0.169045	0.159866	0.151175	0.142949	0.135163	0.127795	0.120824	0.114228	0.107987	0.102085	0.0965014	0.0912209	0.0862269
0.4	0.4	0.904508	0.854439	0.80762	0.763805	0.722705	0.684044	0.64759	0.613147	0.580559	0.549695	0.520444	0.492712	0.466416	0.44148	0.417835	0.395416	0.374163	0.354018	0.334928	0.316839	0.299703	0.283473	0.268102	0.253548	0.239769	0.226726	0.214381	0.202698	0.191644	0.181184	0.171289	0.161928	0.153074	0.1447	0.13678	0.12929	0.122207	0.11551	0.109178	0.103191	0.0975302
0.4	0.5	0.951057	0.89745	0.84719	0.800071	0.755844	0.714268	0.675124	0.638221	0.603395	0.570505	0.539425	0.510044	0.482261	0.455986	0.431134	0.407626	0.385389	0.364355	0.344459	0.32564	0.307841	0.291006	0.275085	0.260028	0.24579	0.232326	0.219595	0.207558	0.196177	0.185417	0.175244	0.165627	0.156536	0.147942	0.139818	0.132139	0.12488	0.118019	0.111534	0.105404	0.099611
0.4	0.6	0.904508	0.852722	0.804156	0.758606	0.715843	0.675655	0.63785	0.602257	0.568725	0.537117	0.507309	0.479189	0.452653	0.427608	0.403964	0.38164	0.36056	0.340653	0.321851	0.304092	0.287318	0.271472	0.256503	0.242362	0.229003	0.216381	0.204457	0.193191	0.182547	0.17249	0.162988	0.15401	0.145527	0.137512	0.129939	0.122783	0.116021	0.109632	0.103595	0.0978912	0.0925011
0.4	0.7	0.769421	0.724549	0.682496	0.643073	0.60611	0.571433	0.538877	0.508289	0.479527	0.452468	0.426995	0.403006	0.380406	0.359108	0.339032	0.320102	0.302251	0.285412	0.269528	0.254541	0.240398	0.227052	0.214455	0.202564	0.19134	0.180742	0.170737	0.16129	0.152369	0.143945	0.135989	0.128476	0.12138	0.114677	0.108347	0.102367	0.0967182	0.0913824	0.0863418	0.0815801	0.0770817
0.4	0.8	0.559017	0.525459	0.494053	0.46478	0.437489	0.412005	0.388167	0.365832	0.34488	0.325204	0.306711	0.289319	0.272954	0.257549	0.243042	0.229377	0.216501	0.204367	0.192928	0.182144	0.171974	0.162383	0.153336	0.1448	0.136747	0.129148	0.121977	0.115208	0.108819	0.102788	0.0970939	0.0917181	0.0866424	0.0818495	0.0773236	0.0730495	0.0690129	0.0652006	0.0615999	0.058199	0.0549866
